Battery,FromToID,cycle_number,cycle_start,duration_months,short_cycle,model,qi,Di,b,r_squared,low_confidence,low_confidence_reason,EUR,hc_sequence,NPV,IRR,payback_months
Mahihkan Battery 02-21,ABWI102140306604W400,1,2022-11-01,11,False,exponential,428.12642452468594,0.2497033243597916,0.0,0.921078988102942,False,,1813.2377363158423,1,401474.1396590174,275611.99924590974,1.0
Mahihkan Battery 02-21,ABWI102141506504W400,4,2025-05-01,12,False,harmonic,233.91683485987224,0.1986548293757753,1.0,0.6004124637958856,False,,1521.3107359942194,1,298801.3509760485,68.28752194595707,2.0
Mahihkan Battery 02-21,ABWI102141606604W400,1,2022-08-01,10,False,exponential,340.86592561826114,0.667262694664684,0.0,0.6715121634740515,False,,699.2042237312133,1,35107.551675952345,9.353120581689838,2.0
Mahihkan Battery 02-21,ABWI102142106604W400,2,2023-11-01,8,False,exponential,198.52177553295613,0.2705331149395943,0.0,0.9042267573488476,False,,741.3686698963486,1,47055.47035001613,3.079212486303353,4.0
Mahihkan Battery 02-21,ABWI102142606504W400,1,2022-11-01,7,False,exponential,171.30239577619696,0.1276295305760258,0.0,0.8237404480770519,False,,844.5569634051875,1,80735.3668667567,6.106104499550832,4.0
Mahihkan Battery 02-21,ABWI102142706604W400,2,2022-09-01,26,False,hyperbolic,2369.78592548348,0.7890214551126834,1.201629948008681,0.9776355351095828,False,,12030.45588782337,1,3664902.1611535307,,0.0
Mahihkan Battery 02-21,ABWI102142806604W400,3,2024-07-01,7,False,harmonic,276.2920496370406,0.5365062496710381,1.0,0.7838233636349085,False,,923.606746470336,1,108127.73755646835,29.54935938287071,3.0
Mahihkan Battery 02-21,ABWI102142806604W400,5,2025-07-01,8,False,harmonic,119.42084895618142,0.9851633116987948,1.0,0.6631904385276179,False,,326.70084371533403,2,-90930.94927581924,-0.9376146817811893,
Mahihkan Battery 02-21,ABWI102142906504W400,2,2022-09-01,6,False,exponential,394.2319857930508,0.7913354474074046,0.0,0.9027188181271648,False,,714.7812430521077,1,40844.86029222235,39.94645282527098,2.0
Mahihkan Battery 02-21,ABWI102142906504W400,4,2023-11-01,13,False,harmonic,293.22139020496746,0.1085741171177877,1.0,0.6019443746581026,False,,2465.216265688341,2,603368.6882179565,1223.1134458201377,2.0
Mahihkan Battery 02-21,ABWI102142906604W400,1,2022-09-01,20,False,harmonic,2203.123410571045,0.2245903867961414,1.0,0.925168119945,False,,17648.776856209304,1,5480449.136667919,,0.0
