Battery,FromToID,n_cycles,total_NPV,total_EUR
Nabiye 11-23,ABWI103162406603W400,4,619868.0055826284,4303.972762626839
Mahihkan Battery 02-21,ABWI102152106604W400,3,617090.94064971,3687.499705984424
Mahihkan Battery 02-21,ABWI102062806504W400,1,614154.5423915421,2530.722020256586
Nabiye 11-23,ABWI103052506603W400,3,612683.0096250481,3655.842668952607
Mahihkan Battery 02-21,ABWI107012206504W400,2,610731.0236360496,3105.0960552456245
Mahihkan Battery 02-21,ABWI111152606504W400,1,609608.3493462887,2513.206421156786
Mahihkan Battery 02-21,ABWI109092806504W400,1,607200.1664768868,2500.258433495494
Mahihkan Battery 02-21,ABWI111061506504W400,1,606810.4287893377,2469.509296029507
Mahihkan Battery 02-21,ABWI108082206504W400,1,599076.3586945985,2426.0979127884543
Mahihkan Battery 02-21,ABWI106012906504W400,1,595404.8134389825,2446.5573500502123
Nabiye 11-23,ABWI102063106602W400,1,594041.7222274503,2378.744713141773
Mahihkan Battery 02-21,ABWI100020906604W400,1,590849.7311215685,2406.0590653545582
Mahihkan Battery 02-21,ABWI103041006604W400,1,584978.9101865332,2390.2053474607364
Mahihkan Battery 02-21,ABWI105123406504W400,1,583429.3556367699,2356.46111397316
Mahihkan Battery 02-21,ABWI111101406504W400,2,575269.3381935253,2960.4675480288874
Mahihkan Battery 02-21,ABWI111082106504W400,2,575114.6651687254,3003.417568620222
Mahihkan Battery 02-21,ABWI106083406504W400,1,574944.215974053,2394.3931321246864
Nabiye 11-23,ABWI100071306603W400,3,569669.0440028969,3569.341610595635
Nabiye 11-23,ABWI100162606603W400,2,569602.790358554,2935.6683367463284
Mahihkan Battery 02-21,ABWI111072706504W400,2,569127.4794659762,2918.7816780829917
Nabiye 11-23,ABWI104112406603W400,2,564225.044690355,2926.246147551371
Mahihkan Battery 02-21,ABWI102122206504W400,2,556690.5616566829,2919.783578313826
Mahihkan Battery 02-21,ABWI104121506504W400,2,556561.3638884135,2933.2442797560866
Nabiye 11-23,ABWI102023606603W400,2,548922.4709262329,2839.1180674046254
Mahihkan Battery 02-21,ABWI106042206504W400,2,547437.6997543422,2886.1998903436374
Nabiye 11-23,ABWI102161406603W400,2,545608.6313842279,2887.9419031755697
Mahihkan Battery 02-21,ABWI106092806504W400,2,544564.1196114918,2871.0987467065925
Mahihkan Battery 02-21,ABWI105072706504W400,2,543279.1069591643,2877.0934454062653
Mahihkan Battery 02-21,ABWI102150906604W400,1,540659.2682072378,2267.889301792869
Mahihkan Battery 02-21,ABWI104031006604W400,3,537969.5094065522,3442.7464601355323
Mahihkan Battery 02-21,ABWI111092906504W400,3,536683.9100998214,3428.442921570603
Nabiye 11-23,ABWI103061206603W400,2,535576.9670836556,2814.025125707827
Mahihkan Battery 02-21,ABWI110061506504W400,2,535140.9680101268,2953.088351431189
Mahihkan Battery 02-21,ABWI100152006604W400,1,531721.3459905204,2188.2682844114365
Mahihkan Battery 02-21,ABWI108052706504W400,1,519599.9672888781,2214.0111679527918
Mahihkan Battery 02-21,ABWI106040306604W400,1,515314.8242100002,2149.951415366101
Mahihkan Battery 02-21,ABWI106011506504W400,1,514039.43037465104,2157.017846344844
Mahihkan Battery 02-21,ABWI106032806504W400,1,513318.8045796307,2172.8783829069203
Mahihkan Battery 02-21,ABWI111043506504W400,3,512447.5008329633,3363.948116151292
Mahihkan Battery 02-21,ABWI107151406504W400,3,512085.9421074501,3387.8484669772897
Mahihkan Battery 02-21,ABWI103072206504W400,1,511256.50715225266,2187.8843342339114
Mahihkan Battery 02-21,ABWI102032806504W400,1,509355.69078200584,2196.738279449701
Mahihkan Battery 02-21,ABWI108081506504W400,1,504976.85705838766,2185.564724590627
Mahihkan Battery 02-21,ABWI108160306604W400,2,502253.5325938289,2740.205210719134
Mahihkan Battery 02-21,ABWI110132606504W400,1,499807.9559301544,2098.046060975129
Nabiye 11-23,ABWI102161106603W400,3,497034.0109251783,3279.8121944432
Nabiye 11-23,ABWI105081306603W400,3,496416.87119394203,3302.712365238046
Nabiye 11-23,ABWI100101306603W400,3,496022.28423348407,3305.813472875877
Mahihkan Battery 02-21,ABWI100062106604W400,2,495822.3528029425,2696.467172829918
Mahihkan Battery 02-21,ABWI108151006504W400,2,495074.0447171362,2716.396885014971
Mahihkan Battery 02-21,ABWI100161606604W400,3,492333.45036422834,3304.2987035915903
Mahihkan Battery 02-21,ABWI110043506504W400,2,489466.08835463354,2682.890580240915
Mahihkan Battery 02-21,ABWI103062806504W400,2,489283.0049771226,2712.939937465574
Mahihkan Battery 02-21,ABWI105042806504W400,1,489205.81296018243,2105.653345056017
Nabiye 11-23,ABWI102152406603W400,3,487424.5227707662,3298.9451380712567
Mahihkan Battery 02-21,ABWI106082106504W400,2,487152.8127011227,2775.123804694511
Nabiye 11-23,ABWI102132506603W400,1,479745.5204764849,2049.22604133412
Nabiye 11-23,ABWI100141306603W400,2,479736.943539593,2672.8788412162166
Mahihkan Battery 02-21,ABWI103051006604W400,1,479144.8948663809,2029.369823657872
Nabiye 11-23,ABWI107112406603W400,2,478441.52008789935,2649.538500502273
Mahihkan Battery 02-21,ABWI105042206504W400,1,477985.75433857174,2182.735043532986
Mahihkan Battery 02-21,ABWI109102206504W400,1,477516.72163154616,2105.7722412690337
Mahihkan Battery 02-21,ABWI103141406504W400,1,476747.58693601436,2108.5444480545484
Mahihkan Battery 02-21,ABWI103112106604W400,2,476376.19011953607,2698.0166667311855
Mahihkan Battery 02-21,ABWI108011506504W400,1,473427.9589578432,2090.650818674298
Mahihkan Battery 02-21,ABWI103091006504W400,2,469051.9907562083,2628.9964788556267
Nabiye 11-23,ABWI104081106603W400,2,468690.7333409435,2679.0232125717484
Mahihkan Battery 02-21,ABWI102101606604W400,2,468097.8808383291,2674.744000851239
Mahihkan Battery 02-21,ABWI110120306604W400,1,463921.6780575349,2009.934052051936
Mahihkan Battery 02-21,ABWI110042206504W400,1,463877.18839751533,2022.8987198868829
Mahihkan Battery 02-21,ABWI100112806604W400,1,463417.8828215021,2010.703593208444
Mahihkan Battery 02-21,ABWI100083406504W400,1,460452.13561434625,2022.949130804988
Mahihkan Battery 02-21,ABWI105142806604W400,4,460247.255595577,3784.1250161336543
Mahihkan Battery 02-21,ABWI114102906504W400,3,456458.581080394,3257.4139477001227
Mahihkan Battery 02-21,ABWI103072106604W400,2,456422.52050938294,2595.645563338243
Nabiye 11-23,ABWI100091306603W400,2,456027.6382881005,2600.097609041537
Mahihkan Battery 02-21,ABWI105040306604W400,1,455280.25633147225,1974.4212589517092
Mahihkan Battery 02-21,ABWI104112706504W400,2,454183.79771436617,2581.3115350162216
Mahihkan Battery 02-21,ABWI105031506504W400,1,452010.0997526205,2081.906808028297
Mahihkan Battery 02-21,ABWI100152106604W400,2,450444.7876265981,2586.861147776951
Mahihkan Battery 02-21,ABWI105060906604W400,2,447416.4153992656,2550.145033661801
Mahihkan Battery 02-21,ABWI105092906504W400,1,446792.51741018763,1964.5743045867137
Nabiye 11-23,ABWI103043106602W400,1,444347.70085688535,1923.4289041299287
Nabiye 11-23,ABWI102052506603W400,2,443234.10327105963,2538.6006827770575
Mahihkan Battery 02-21,ABWI104091006504W400,1,439701.5947648386,1939.2379542346769
Mahihkan Battery 02-21,ABWI100100906604W400,1,437530.35649445496,1941.1203985319112
Mahihkan Battery 02-21,ABWI104033306604W400,1,431920.4951258362,1958.6411878201327
Nabiye 11-23,ABWI103112406603W400,4,431081.21661876375,3721.2976360824914
Mahihkan Battery 02-21,ABWI103151006504W400,3,431053.36379910714,3123.2057792479045
Mahihkan Battery 02-21,ABWI100131506504W400,2,428297.55027675617,2529.0681032294783
Mahihkan Battery 02-21,ABWI107161606504W400,1,428090.1303294443,1885.7895131560044
Mahihkan Battery 02-21,ABWI107132606504W400,1,427590.4441609034,1891.543827235338
Mahihkan Battery 02-21,ABWI105112206504W400,2,426133.4365143868,2527.6934957088943
Mahihkan Battery 02-21,ABWI100122806604W400,2,425128.4451457802,2478.3389491537905
Mahihkan Battery 02-21,ABWI102080506604W400,3,421595.5729004809,3081.948559846317
Nabiye 11-23,ABWI100073606603W400,2,419518.94396404026,2462.6238127216748
Mahihkan Battery 02-21,ABWI106013406504W400,1,418761.81568034773,1869.7483762726465
Mahihkan Battery 02-21,ABWI100120406604W400,3,418006.69342040014,3049.895202397392
Mahihkan Battery 02-21,ABWI112152106504W400,1,417136.0729559821,1842.2308428228644
Mahihkan Battery 02-21,ABWI104073506504W400,1,414300.5748650902,1874.39740521454
Mahihkan Battery 02-21,ABWI100091606604W400,1,413951.9330246232,1943.063088666939
Nabiye 11-23,ABWI100043606603W400,3,412803.5518164065,3050.5439931577675
Mahihkan Battery 02-21,ABWI102052306504W400,1,412010.1319470935,1846.020772663882
Mahihkan Battery 02-21,ABWI102102106604W400,2,410778.33656136657,2510.1776614682294
Mahihkan Battery 02-21,ABWI102113406504W400,2,408895.9173931696,2440.896344253465
Mahihkan Battery 02-21,ABWI108123506504W400,2,407229.6771482256,2450.3378047264905
Nabiye 11-23,ABWI102103606603W400,1,405264.55703622545,1820.3835874838333
Mahihkan Battery 02-21,ABWI108161606504W400,3,404815.55974989035,3035.5142441958733
Mahihkan Battery 02-21,ABWI102140306604W400,1,401474.1396590174,1813.2377363158423
Mahihkan Battery 02-21,ABWI106112206504W400,1,395047.9050516665,1813.2839432811804
Mahihkan Battery 02-21,ABWI111163406504W400,2,390450.1298245159,2445.8866978541387
Mahihkan Battery 02-21,ABWI113121106504W400,1,386876.4014201502,1807.6423851290465
Mahihkan Battery 02-21,ABWI108083406504W400,3,385903.51428797725,2977.052960426533
Nabiye 11-23,ABWI100063606603W400,2,385303.0807894175,2364.3428881079917
Mahihkan Battery 02-21,ABWI106163406504W400,1,382358.72379590885,1773.951351484904
Mahihkan Battery 02-21,ABWI103062106604W400,2,381359.68690238387,2341.434011876285
Mahihkan Battery 02-21,ABWI103050306604W400,1,380702.3077173649,1840.0330305626571
Nabiye 11-23,ABWI104022506603W400,2,379112.89708756784,2363.132488634634
Mahihkan Battery 02-21,ABWI108052206504W400,1,375868.7711073996,1819.2579696574603
Nabiye 11-23,ABWI100152506603W400,1,374518.1784830688,1736.5409279297253
Mahihkan Battery 02-21,ABWI108032206504W400,1,372909.73850337573,1741.6957297669492
Mahihkan Battery 02-21,ABWI104022706504W400,2,371038.2389572932,2324.9242131874416
Mahihkan Battery 02-21,ABWI100042206504W400,2,371021.7525795418,2362.898306788993
Mahihkan Battery 02-21,ABWI100062206504W400,1,370013.0398781362,1725.1228982975074
Mahihkan Battery 02-21,ABWI109070306604W400,1,366914.7561147788,1696.991540256916
Mahihkan Battery 02-21,ABWI108132606504W400,2,362244.1531567882,2285.075660520552
Mahihkan Battery 02-21,ABWI100050406604W400,3,361188.7185165019,2887.4894510726094
Mahihkan Battery 02-21,ABWI102160506604W400,1,361012.34237873147,1709.602936609095
Mahihkan Battery 02-21,ABWI111041406504W400,1,360403.67040044384,1682.7840783941758
Mahihkan Battery 02-21,ABWI106131406504W400,1,358113.5409559011,1717.9000098921397
Nabiye 11-23,ABWI102052406603W400,3,357160.56709299213,2886.720224237616
Mahihkan Battery 02-21,ABWI114082106504W400,1,357039.2060787007,1715.0644778063115
Mahihkan Battery 02-21,ABWI102023506504W400,2,353243.16257141845,2264.05178165922
Mahihkan Battery 02-21,ABWI110083406504W400,1,352967.20933616586,1675.826279180559
Mahihkan Battery 02-21,ABWI108102806504W400,2,352654.3838185022,2256.038152797648
Mahihkan Battery 02-21,ABWI108052306504W400,3,351201.91478130256,2891.1545219133586
Mahihkan Battery 02-21,ABWI108042806504W400,2,350023.8308550436,2262.055465301579
Mahihkan Battery 02-21,ABWI104082806504W400,1,349400.7199677714,1663.1145118885568
Mahihkan Battery 02-21,ABWI100072106604W400,2,349350.01712320023,2289.753684607462
Nabiye 11-23,ABWI105112406603W400,3,346760.5648827164,2851.9222901381995
Mahihkan Battery 02-21,ABWI111121106504W400,1,346554.1538998947,1650.8839403390011
Mahihkan Battery 02-21,ABWI107091606504W400,1,345640.80773041927,1642.536944369704
Nabiye 11-23,ABWI105153606603W400,1,345569.69203867775,1643.7564537391818
Nabiye 11-23,ABWI102091306603W400,2,344423.1066193358,2262.998620761478
Mahihkan Battery 02-21,ABWI104101506504W400,2,340264.482283517,2291.3023077543844
Mahihkan Battery 02-21,ABWI102033406604W400,2,340213.0534098959,2243.135711358539
Nabiye 11-23,ABWI102112406603W400,1,339452.93160996796,1648.2661367221467
Mahihkan Battery 02-21,ABWI109071506504W400,2,338818.55849240534,2227.745414288418
Mahihkan Battery 02-21,ABWI105060306604W400,1,337568.432180438,1616.0435424836542
Mahihkan Battery 02-21,ABWI107151506504W400,3,336707.47939090594,2858.5845257307255
Mahihkan Battery 02-21,ABWI103011506504W400,1,334768.416209314,1624.2341140339297
Mahihkan Battery 02-21,ABWI100042806504W400,2,332643.6008117342,2237.2455997918255
Mahihkan Battery 02-21,ABWI106112806504W400,1,331544.04023149045,1608.294809711402
Mahihkan Battery 02-21,ABWI105161606504W400,2,327878.5045738206,2201.8420984596914
Mahihkan Battery 02-21,ABWI103062106504W400,1,326992.56623156276,1611.2455322649118
Nabiye 11-23,ABWI100012506603W400,3,326038.9945670969,2806.80496428389
Mahihkan Battery 02-21,ABWI103042206504W400,1,324571.76708831696,1598.2691557949852
Mahihkan Battery 02-21,ABWI108102206504W400,1,324086.92945558584,1603.5467347864058
Mahihkan Battery 02-21,ABWI107142706504W400,1,323708.93596419366,1607.9201745889234
Mahihkan Battery 02-21,ABWI106010306604W400,3,322931.77059184195,2767.2763943599734
Mahihkan Battery 02-21,ABWI108161506504W400,1,322801.8668013936,1600.9218060728408
Mahihkan Battery 02-21,ABWI100032806604W400,3,322619.1797305712,2817.3642941623607
Mahihkan Battery 02-21,ABWI103062606504W400,1,321893.47915667406,1571.280129577318
Nabiye 11-23,ABWI104152406603W400,2,320875.72016009537,2172.307671122263
Mahihkan Battery 02-21,ABWI107052206504W400,2,319459.09108382463,2189.925911204051
Mahihkan Battery 02-21,ABWI106073406504W400,1,319078.2161979977,1550.1763624056923
Mahihkan Battery 02-21,ABWI107131406504W400,2,317333.112576388,2161.665774959902
Mahihkan Battery 02-21,ABWI102120906604W400,1,314863.23673159076,1554.9434470998483
Mahihkan Battery 02-21,ABWI107112206504W400,2,314136.96669322834,2143.686290477487
Nabiye 11-23,ABWI106011306603W400,3,313264.1767065419,2789.8919272123057
Mahihkan Battery 02-21,ABWI108142806504W400,3,313004.683151838,2734.018954634348
Mahihkan Battery 02-21,ABWI102152806504W400,1,312945.285433765,1536.985016518005
Mahihkan Battery 02-21,ABWI117022206504W400,1,309739.0847652183,1566.7981209831182
Nabiye 11-23,ABWI104081306603W400,2,309166.12133102,2168.900367758205
Nabiye 11-23,ABWI106081306603W400,1,308467.3368233667,1530.847228573191
Mahihkan Battery 02-21,ABWI102022006604W400,1,308286.3567457243,1513.6909644129885
Mahihkan Battery 02-21,ABWI103132606504W400,1,307238.49200061033,1532.1542067633627
Mahihkan Battery 02-21,ABWI105022706504W400,2,306542.8925263644,2122.01456970418
Mahihkan Battery 02-21,ABWI104012106504W400,1,305929.55120231333,1552.9241028083195
Mahihkan Battery 02-21,ABWI110151006504W400,1,305694.6963181776,1549.4697336791426
Mahihkan Battery 02-21,ABWI111141406504W400,1,305194.9372093777,1551.3521471479633
Mahihkan Battery 02-21,ABWI105102806504W400,2,302750.4626666292,2150.7264174030356
Mahihkan Battery 02-21,ABWI105101406504W400,1,299650.84190450876,1517.9613137006515
Mahihkan Battery 02-21,ABWI110012706504W400,2,298841.2182639657,2120.225204922517
Mahihkan Battery 02-21,ABWI102141506504W400,1,298801.3509760485,1521.3107359942194
Mahihkan Battery 02-21,ABWI102112106604W400,1,296145.47335403424,1507.5156462831344
Mahihkan Battery 02-21,ABWI108011006604W400,1,294662.9564603616,1490.7470083902292
Mahihkan Battery 02-21,ABWI107062706504W400,1,292516.66702256206,1491.696999018295
Mahihkan Battery 02-21,ABWI100073306604W400,3,292159.1951206376,2703.502588022144
Mahihkan Battery 02-21,ABWI109052206504W400,1,290357.2332053533,1491.6736936358725
Mahihkan Battery 02-21,ABWI100063506504W400,1,286573.75716096925,1461.5990698994765
Nabiye 11-23,ABWI102101306603W400,2,286548.28117397183,2067.574815710554
Mahihkan Battery 02-21,ABWI105091006504W400,1,284207.3731673167,1471.515754272222
Mahihkan Battery 02-21,ABWI102023406504W400,1,283001.90862409596,1450.0645030615565
Mahihkan Battery 02-21,ABWI102052706504W400,1,282809.18947373284,1469.2622078326804
Mahihkan Battery 02-21,ABWI100162806504W400,1,280341.4131961963,1433.631685578796
Mahihkan Battery 02-21,ABWI109102706504W400,1,273631.2112850244,1422.3700263968565
Nabiye 11-23,ABWI106112406603W400,1,268593.08795995906,1414.7780711886028
Mahihkan Battery 02-21,ABWI105112806504W400,1,265079.91059290787,1432.6927197029484
Mahihkan Battery 02-21,ABWI106062706504W400,1,265031.51246717974,1447.577527638001
Mahihkan Battery 02-21,ABWI103062206504W400,2,263239.63302780763,2010.1733376156892
Mahihkan Battery 02-21,ABWI100050306604W400,1,262836.30132267345,1387.2966510856322
Nabiye 11-23,ABWI104140106603W400,1,262375.4870002594,1394.0650925881384
Mahihkan Battery 02-21,ABWI105101006504W400,1,259752.6076062165,1372.377508720657
Mahihkan Battery 02-21,ABWI103010806604W400,1,259637.09474094704,1377.9919539608493
Mahihkan Battery 02-21,ABWI107161506504W400,1,259172.43000165728,1401.0802135203676
Mahihkan Battery 02-21,ABWI102053306604W400,2,258864.58818096376,1973.520116374547
Mahihkan Battery 02-21,ABWI104163306504W400,2,258386.646028274,1970.505862472389
Mahihkan Battery 02-21,ABWI107072706504W400,1,257029.72349841482,1366.1373162501386
Mahihkan Battery 02-21,ABWI100102806504W400,1,256493.77100753787,1390.0362552300935
Mahihkan Battery 02-21,ABWI111112806504W400,3,255867.70088988793,2587.3426041819193
Mahihkan Battery 02-21,ABWI103043506504W400,1,255410.3606239723,1416.2085766913435
Nabiye 11-23,ABWI102082506603W400,3,254262.59406361522,2564.1794911882434
Mahihkan Battery 02-21,ABWI104161506504W400,1,253459.41237069687,1422.4439612521844
Mahihkan Battery 02-21,ABWI103080506604W400,3,253445.2849611694,2550.300167553451
Mahihkan Battery 02-21,ABWI100040906604W400,2,252509.6841011449,1946.7093623493683
Mahihkan Battery 02-21,ABWI100102806604W400,2,248688.0122418477,1972.063997987913
Nabiye 11-23,ABWI102023506603W400,1,248642.45341003803,1349.3428460184568
Nabiye 11-23,ABWI106062406603W400,2,248080.04991151474,1950.3391794706627
Mahihkan Battery 02-21,ABWI106022206504W400,2,245417.6124865306,1931.1017419544166
Mahihkan Battery 02-21,ABWI104010306604W400,2,244574.0210517508,1944.9138560727824
Mahihkan Battery 02-21,ABWI109151406504W400,1,243920.42078789562,1329.1272905511696
Mahihkan Battery 02-21,ABWI103090506604W400,2,243892.04832415056,1927.082791919593
Mahihkan Battery 02-21,ABWI102092806504W400,2,239667.6436109884,1919.470549210021
Mahihkan Battery 02-21,ABWI109122806504W400,1,238640.18239054497,1377.4181133864872
Mahihkan Battery 02-21,ABWI106021506504W400,1,238220.14467494955,1351.605666098284
Mahihkan Battery 02-21,ABWI113082106504W400,2,237678.12205173104,1923.2609747884844
Nabiye 11-23,ABWI102042406603W400,2,236515.36922041036,1922.7028670290329
Mahihkan Battery 02-21,ABWI103092806504W400,1,235214.68762878058,1315.5994693743928
Nabiye 11-23,ABWI100052406603W400,3,234867.11089504015,2502.5935783207037
Mahihkan Battery 02-21,ABWI108141006504W400,1,234013.13711215925,1302.4190637306026
Mahihkan Battery 02-21,ABWI104042206504W400,1,230417.63007878335,1310.6267637417225
Mahihkan Battery 02-21,ABWI105012206504W400,2,228497.72713962494,1889.8639456756637
Mahihkan Battery 02-21,ABWI111120306604W400,1,228336.1951649639,1286.4382668672606
Mahihkan Battery 02-21,ABWI104151006504W400,2,226131.54300973262,1906.3149094417631
Mahihkan Battery 02-21,ABWI104091506504W400,1,225357.93762221435,1336.5737299209925
Mahihkan Battery 02-21,ABWI106102706504W400,1,224930.16751360902,1272.058757009868
Mahihkan Battery 02-21,ABWI106142806504W400,1,222425.93768671376,1277.1801927570802
Mahihkan Battery 02-21,ABWI100023406504W400,1,222418.02884012193,1279.8568776478146
Mahihkan Battery 02-21,ABWI100092706504W400,1,220435.3928412494,1277.2597717296453
Mahihkan Battery 02-21,ABWI100123406504W400,2,220393.01699058717,1871.314961148053
Mahihkan Battery 02-21,ABWI106060306604W400,1,219861.29739240487,1289.477333551927
Mahihkan Battery 02-21,ABWI110131106504W400,1,219417.72227574288,1268.2438203556464
Mahihkan Battery 02-21,ABWI108042306504W400,1,218596.40610290784,1260.912440942462
Mahihkan Battery 02-21,ABWI103032806504W400,1,216976.7464441962,1277.74532274202
Mahihkan Battery 02-21,ABWI1W0052806504W400,1,212394.5220897667,1237.1132829210424
Mahihkan Battery 02-21,ABWI111102706504W400,1,204348.09730954276,1216.6583386129894
Mahihkan Battery 02-21,ABWI102062106604W400,1,201065.16075385344,1223.5737392445135
Mahihkan Battery 02-21,ABWI105141506504W400,2,200587.0898217105,1820.0808585992154
Mahihkan Battery 02-21,ABWI108033506504W400,2,200213.24926860118,1799.3458875778224
Nabiye 11-23,ABWI100142506603W400,1,200030.7069283971,1205.0711869520728
Nabiye 11-23,ABWI103071306603W400,3,199948.54564541084,2385.200039220682
Mahihkan Battery 02-21,ABWI105062806504W400,1,199151.94579108313,1201.342972207422
Mahihkan Battery 02-21,ABWI100022906604W400,1,198653.38109388907,1188.6171905489134
Mahihkan Battery 02-21,ABWI102040306604W400,1,198044.75838798564,1189.8501491880677
Mahihkan Battery 02-21,ABWI109022206504W400,1,195233.30473994973,1183.3889904826312
Mahihkan Battery 02-21,ABWI110152906504W400,1,194157.49036739016,1215.8022946874732
Nabiye 11-23,ABWI102032406603W400,2,194065.13715537722,1788.0464068319272
Mahihkan Battery 02-21,ABWI104052206504W400,2,184200.87783692186,1785.8807965949036
Mahihkan Battery 02-21,ABWI102062706504W400,4,183140.27559302337,2963.3353325741746
Nabiye 11-23,ABWI106130106603W400,2,177157.03789456515,1738.750411622551
Mahihkan Battery 02-21,ABWI104043306504W400,1,177100.224388181,1157.1101595261073
Mahihkan Battery 02-21,ABWI112010406604W400,1,175994.24603972718,1121.6064140946237
Mahihkan Battery 02-21,ABWI108021006604W400,1,171512.66500608655,1117.209609175252
Nabiye 11-23,ABWI103161206603W400,1,171359.13553504535,1129.717264886298
Mahihkan Battery 02-21,ABWI107071506504W400,3,170914.7338663222,2308.476200215494
Mahihkan Battery 02-21,ABWI100023506504W400,2,168584.6629769093,1723.891084772596
Mahihkan Battery 02-21,ABWI108091006504W400,2,168497.39336745508,1718.4055482687418
Mahihkan Battery 02-21,ABWI106082706504W400,1,165846.03097553377,1098.8753847823964
Mahihkan Battery 02-21,ABWI102151606604W400,1,164151.35259006923,1096.2733832860513
Mahihkan Battery 02-21,ABWI110131406504W400,2,163655.29515918545,1704.6759264650082
Mahihkan Battery 02-21,ABWI100142606504W400,1,162771.12529449782,1095.4984401108643
Mahihkan Battery 02-21,ABWI103160506604W400,1,161317.63301744478,1084.047267106765
Mahihkan Battery 02-21,ABWI110153406504W400,1,158683.33726788757,1083.9855518383656
Mahihkan Battery 02-21,ABWI100021506504W400,1,158609.34813468158,1082.6575087590436
Mahihkan Battery 02-21,ABWI110162706504W400,1,158552.96381664264,1078.7266565576188
Nabiye 11-23,ABWI104121206603W400,2,154904.6139831532,1662.9290019148493
Mahihkan Battery 02-21,ABWI110091506504W400,1,153858.80571887514,1062.9533403037503
Nabiye 11-23,ABWI105130106603W400,3,152770.71312080658,2241.5887807257186
Nabiye 11-23,ABWI103081206603W400,1,152442.87661613882,1054.1220175687013
Mahihkan Battery 02-21,ABWI102151406504W400,1,150317.46044264364,1066.787897774309
Mahihkan Battery 02-21,ABWI102112806604W400,1,149223.21286148633,1045.3403007242914
Mahihkan Battery 02-21,ABWI104042706504W400,3,148492.06365372578,2243.241645864376
Mahihkan Battery 02-21,ABWI105022206504W400,2,147225.5257513008,1645.988172474537
Mahihkan Battery 02-21,ABWI107033306604W400,1,146892.84203339557,1035.7965096215066
Mahihkan Battery 02-21,ABWI114141506504W400,1,144846.68325794814,1032.098475695837
Mahihkan Battery 02-21,ABWI104142106604W400,2,143058.60205823608,1630.999849281408
Mahihkan Battery 02-21,ABWI102070906604W400,2,142460.56817010726,1628.5206448441659
Mahihkan Battery 02-21,ABWI109052706504W400,2,141809.16435159952,1618.5806934296386
Mahihkan Battery 02-21,ABWI107062206504W400,1,141124.0914067344,1041.1176022031457
Nabiye 11-23,ABWI103131306603W400,2,139416.3499990857,1624.9553909583415
Mahihkan Battery 02-21,ABWI103111506504W400,3,138822.2500196342,2262.908777796121
Nabiye 11-23,ABWI103082506603W400,1,138297.18046066957,1012.0733918563404
Mahihkan Battery 02-21,ABWI108120306604W400,1,136530.14370320307,1004.7718439243466
Mahihkan Battery 02-21,ABWI103072906504W400,2,136022.65312299912,1617.4957282133978
Mahihkan Battery 02-21,ABWI111050306604W400,1,133012.04710854613,993.436648505447
Mahihkan Battery 02-21,ABWI102132806604W400,2,131809.65425093193,1617.7559519694614
Mahihkan Battery 02-21,ABWI104042806504W400,1,129818.68081621533,999.5183271555968
Mahihkan Battery 02-21,ABWI102032306504W400,1,128803.44760315024,986.8451836254686
Mahihkan Battery 02-21,ABWI102020306604W400,1,128415.74653920445,995.7724578028116
Nabiye 11-23,ABWI102012306603W400,3,128093.26011195415,2191.5277373134854
Nabiye 11-23,ABWI104062406603W400,1,127960.02285461414,979.8948615962652
Nabiye 11-23,ABWI100082606603W400,2,127547.98221145272,1586.650232789899
Mahihkan Battery 02-21,ABWI103031506504W400,3,124086.80113223712,2193.0514196577305
Mahihkan Battery 02-21,ABWI108072706504W400,3,122899.2334484171,2167.0312798958184
Mahihkan Battery 02-21,ABWI111052206504W400,1,121330.12451192096,978.8099054885269
Mahihkan Battery 02-21,ABWI104061506504W400,1,121147.03112901287,962.0113096472082
Nabiye 11-23,ABWI100023606603W400,2,120753.69388047815,1560.321758522582
Mahihkan Battery 02-21,ABWI109161006504W400,1,120151.65717973068,966.3820031678912
Mahihkan Battery 02-21,ABWI106151006504W400,2,119649.79901622982,1574.7261494449901
Mahihkan Battery 02-21,ABWI109012706504W400,1,119379.51795159352,957.41125480886
Mahihkan Battery 02-21,ABWI103151506504W400,1,118727.23629191364,963.2448264770176
Mahihkan Battery 02-21,ABWI104133506504W400,1,116483.81877089126,963.0550277958896
Mahihkan Battery 02-21,ABWI100152806504W400,2,114794.18208114471,1547.327446472481
Mahihkan Battery 02-21,ABWI108012906504W400,1,111464.19567667467,939.975615846594
Mahihkan Battery 02-21,ABWI104072206504W400,3,111166.49386496661,2128.2913397659026
Nabiye 11-23,ABWI105062406603W400,3,110535.59001051792,2129.3803412621983
Nabiye 11-23,ABWI107062406603W400,3,110514.60338322693,2123.4567925009583
Mahihkan Battery 02-21,ABWI102061506504W400,2,109898.88068098301,1523.789006624718
Nabiye 11-23,ABWI103151206603W400,2,108675.4490895393,1548.1026337972826
Mahihkan Battery 02-21,ABWI105023506504W400,2,108351.66067304766,1532.1608512356008
Mahihkan Battery 02-21,ABWI107101406504W400,1,107399.83115556587,920.370022002943
Mahihkan Battery 02-21,ABWI100082806504W400,1,104713.47208318289,912.4942366021996
Mahihkan Battery 02-21,ABWI109122606504W400,1,103304.86318130195,909.3211734059936
Mahihkan Battery 02-21,ABWI104022106604W400,3,102927.12769040462,2110.236367299689
Nabiye 11-23,ABWI104061206603W400,1,101137.86309334975,914.1332035938038
