Battery,FromToID,cycle_number,cycle_start,duration_months,short_cycle,model,qi,Di,b,r_squared,low_confidence,low_confidence_reason,EUR,hc_sequence
Nabiye 11-23,ABWI102052406603W400,4,2024-10-01,10,False,exponential,166.0346506825005,0.2218492380902481,0.0,0.6387589905228285,False,,667.0050765119555,4
Nabiye 11-23,ABWI102052506603W400,1,2022-09-01,10,False,harmonic,422.3873804556417,0.5096751677708937,1.0,0.9054245454649332,False,,1498.156903170864,1
Nabiye 11-23,ABWI102052506603W400,4,2024-06-01,9,False,exponential,273.4973419655595,0.3952128148790799,0.0,0.9693765208266673,False,,672.2842974606116,2
Nabiye 11-23,ABWI102062306603W400,1,2022-09-01,8,False,exponential,2832.747389610069,0.4611508038925557,0.0,0.7688422767856313,False,,5989.2595520899185,1
Nabiye 11-23,ABWI102062306603W400,4,2024-06-01,7,False,exponential,2492.316990445683,0.4328231334865083,0.0,0.8395577851381277,False,,5479.999219925248,2
Nabiye 11-23,ABWI102062406603W400,3,2023-10-01,6,False,exponential,110.29065700192189,0.1756840287033171,0.0,0.62166128174568,False,,408.99487925335734,1
Nabiye 11-23,ABWI102062406603W400,4,2024-04-01,8,False,exponential,83.90843903859425,0.7311148646919524,0.0,0.941679595928556,False,,114.43691525598292,2
Nabiye 11-23,ABWI102063106602W400,4,2023-10-01,6,False,exponential,603.2808693732053,0.1884110985201725,0.0,0.654423445625042,False,,2168.0888056883637,1
Nabiye 11-23,ABWI102063606603W400,2,2023-03-01,8,False,exponential,585.4933502609562,0.2573304557335457,0.0,0.8334723734469303,False,,1984.8743222665498,1
Nabiye 11-23,ABWI102063606603W400,7,2025-12-01,7,False,exponential,787.1381800579113,0.2289748882219539,0.0,0.7471078645064904,False,,2745.5670792411383,2
Nabiye 11-23,ABWI102070106603W400,2,2022-12-01,9,False,exponential,1321.625649398116,0.3001512079424322,0.0,0.9069866278136371,False,,4107.6826561798725,1
Nabiye 11-23,ABWI102070106603W400,4,2024-01-01,12,False,harmonic,814.2866987138549,0.1879586314338717,1.0,0.6737844376066189,False,,5113.576494214372,2
Nabiye 11-23,ABWI102070106603W400,5,2025-01-01,18,False,exponential,986.5191595709426,0.1625699246702389,0.0,0.8340228183962638,False,,5743.03338683102,3
Nabiye 11-23,ABWI102071306603W400,4,2025-09-01,10,False,harmonic,154.45003114043894,0.3535184977510242,1.0,0.6373625042983688,False,,660.5247884752426,1
Nabiye 11-23,ABWI102071806602W400,1,2023-03-01,7,False,exponential,1811.9278949174384,0.2590766528631603,0.0,0.7930020540160765,False,,5853.268627976339,1
Nabiye 11-23,ABWI102071806602W400,4,2025-05-01,14,False,exponential,1441.257718229294,0.1853808988892004,0.0,0.7501392493291926,False,,7194.428099077361,2
Nabiye 11-23,ABWI102080106603W400,4,2025-03-01,9,False,harmonic,1236.022184547143,1.2294187004665835,1.0,0.9683310559470194,False,,2503.66539935567,1
Nabiye 11-23,ABWI102082506603W400,2,2023-04-01,8,False,exponential,292.66685159204746,0.2415580611788785,0.0,0.8539831159134074,False,,1036.1539866671235,1
Nabiye 11-23,ABWI102082506603W400,3,2023-12-01,7,False,harmonic,163.94642161989862,0.1602620368665599,1.0,0.5004277531670871,False,,769.5756839704733,2
Nabiye 11-23,ABWI102082506603W400,4,2024-07-01,6,False,harmonic,217.30711431512597,0.7911342944621074,1.0,0.6252065463299115,False,,480.3139286638671,3
Nabiye 11-23,ABWI102082606603W400,1,2022-08-01,8,False,harmonic,2410.203594341458,0.6509814625119367,1.0,0.6544318411645091,False,,6759.924627244178,1
Nabiye 11-23,ABWI102082606603W400,4,2024-07-01,6,False,harmonic,2241.7503542118225,0.4151798996605999,1.0,0.6509225277528742,False,,6750.473446442369,2
Nabiye 11-23,ABWI102090106603W400,4,2024-03-01,10,False,harmonic,1015.4301379233124,0.4749488480850065,1.0,0.648900317903017,False,,3739.5604188797697,1
Nabiye 11-23,ABWI102090106603W400,6,2025-06-01,7,False,exponential,279.9334254919056,0.184159099403273,0.0,0.670734828998734,False,,1101.2630179455552,2
Nabiye 11-23,ABWI102091206603W400,2,2023-03-01,7,False,exponential,146.22328260404058,0.3678376680371139,0.0,0.7765598357785166,False,,367.2443424327411,1
Nabiye 11-23,ABWI102091206603W400,4,2024-04-01,6,False,exponential,64.12664763883345,0.6996846775896689,0.0,0.651395870443495,False,,90.27382270086838,2
Nabiye 11-23,ABWI102091306603W400,2,2023-03-01,8,False,exponential,282.1485204363436,0.2615540006255655,0.0,0.8120384281233907,False,,945.6370264353188,1
Nabiye 11-23,ABWI102091306603W400,6,2025-03-01,16,False,harmonic,178.36915064779205,0.3072340173549738,1.0,0.7578589286657631,False,,1032.021434293561,2
