ProductionMonth,ReportingFacilityID,FromToID,ProductID,Volume,IsInjector
2022-01,ABBT0051212,ABWI100111506604W400,GAS,20.7,False
2022-01,ABBT0051212,ABWI100112106504W400,GAS,3.4,False
2022-01,ABBT0051212,ABWI100112706504W400,GAS,2.8,False
2022-01,ABBT0051212,ABWI100112706604W400,GAS,12.6,False
2022-01,ABBT0051212,ABWI100112806604W400,GAS,11.5,False
2022-01,ABBT0051212,ABWI100112906604W400,GAS,117.7,False
2022-01,ABBT0051212,ABWI100113506504W400,GAS,10.5,False
2022-01,ABBT0051212,ABWI100120406604W400,GAS,2.1,False
2022-01,ABBT0051212,ABWI100120906604W400,GAS,117.6,False
2022-01,ABBT0051212,ABWI100121006604W400,GAS,44.6,False
2022-01,ABBT0051212,ABWI100121506504W400,GAS,8.8,False
2022-01,ABBT0051212,ABWI100121506604W400,GAS,10.3,False
2022-01,ABBT0051212,ABWI100121606604W400,GAS,63.4,False
2022-01,ABBT0051212,ABWI100122706504W400,GAS,15.1,False
2022-01,ABBT0051212,ABWI100122806504W400,GAS,7.9,False
2022-01,ABBT0051212,ABWI100122806604W400,GAS,14.5,False
2022-01,ABBT0051212,ABWI100123406504W400,GAS,17.4,False
2022-01,ABBT0051212,ABWI100123506504W400,GAS,1.4,False
2022-01,ABBT0051212,ABWI100130306604W400,GAS,8.2,False
2022-01,ABBT0051212,ABWI100130406604W400,GAS,3.3,False
2022-01,ABBT0051212,ABWI100130906604W400,GAS,37.1,False
2022-01,ABBT0051212,ABWI100131006504W400,GAS,15.9,False
2022-01,ABBT0051212,ABWI100131006604W400,GAS,16.3,False
2022-01,ABBT0051212,ABWI100131506504W400,GAS,17.1,False
2022-01,ABBT0051212,ABWI100132606504W400,GAS,1.5,False
2022-01,ABBT0051212,ABWI100132806604W400,GAS,18.9,False
2022-01,ABBT0051212,ABWI100133406504W400,GAS,12.9,False
2022-01,ABBT0051212,ABWI100133506504W400,GAS,9.8,False
2022-01,ABBT0051212,ABWI100141006504W400,GAS,11.7,False
2022-01,ABBT0051212,ABWI100141506504W400,GAS,7.9,False
2022-01,ABBT0051212,ABWI100141606604W400,GAS,7.6,False
2022-01,ABBT0051212,ABWI100142106504W400,GAS,0.1,False
2022-01,ABBT0051212,ABWI100142106604W400,GAS,13.8,False
2022-01,ABBT0051212,ABWI100142206504W400,GAS,0.2,False
2022-01,ABBT0051212,ABWI100142206604W400,GAS,23.2,False
2022-01,ABBT0051212,ABWI100142606504W400,GAS,1.5,False
