ProductionMonth,ReportingFacilityID,FromToID,ProductID,Volume,IsInjector
2022-01,ABBT0119087,ABWI102101206603W400,GAS,2.4,False
2022-01,ABBT0119087,ABWI102101306603W400,GAS,0.9,False
2022-01,ABBT0119087,ABWI102103606603W400,GAS,18.7,False
2022-01,ABBT0119087,ABWI102112306603W400,GAS,76.4,False
2022-01,ABBT0119087,ABWI102112406603W400,GAS,14.9,False
2022-01,ABBT0119087,ABWI102112606603W400,GAS,96.8,False
2022-01,ABBT0119087,ABWI102113606603W400,GAS,29.9,False
2022-01,ABBT0119087,ABWI102121306603W400,GAS,1.3,False
2022-01,ABBT0119087,ABWI102121906602W400,GAS,76.4,False
2022-01,ABBT0119087,ABWI102122406603W400,GAS,1.6,False
2022-01,ABBT0119087,ABWI102122506603W400,GAS,19.4,False
2022-01,ABBT0119087,ABWI102132506603W400,GAS,5.4,False
2022-01,ABBT0119087,ABWI102140206603W400,GAS,48.7,False
2022-01,ABBT0119087,ABWI102141306603W400,GAS,6.8,False
2022-01,ABBT0119087,ABWI102143106602W400,GAS,80.8,False
2022-01,ABBT0119087,ABWI102143606603W400,GAS,47.5,False
2022-01,ABBT0119087,ABWI102151206603W400,GAS,3.0,False
2022-01,ABBT0119087,ABWI102151406603W402,GAS,11.5,False
2022-01,ABBT0119087,ABWI102151906602W400,GAS,64.1,False
2022-01,ABBT0119087,ABWI102152406603W400,GAS,11.6,False
2022-01,ABBT0119087,ABWI102153506603W400,GAS,128.4,False
2022-01,ABBT0119087,ABWI102153606603W400,GAS,66.7,False
2022-01,ABBT0119087,ABWI102161106603W400,GAS,6.4,False
2022-01,ABBT0119087,ABWI102161206603W400,GAS,0.6,False
2022-01,ABBT0119087,ABWI102161306603W400,GAS,31.9,False
2022-01,ABBT0119087,ABWI102161406603W400,GAS,1.4,False
2022-01,ABBT0119087,ABWI102162306603W400,GAS,95.8,False
2022-01,ABBT0119087,ABWI103010106603W400,GAS,18.8,False
2022-01,ABBT0119087,ABWI103011306603W400,GAS,2.6,False
2022-01,ABBT0119087,ABWI103021306603W400,GAS,1.5,False
2022-01,ABBT0119087,ABWI103022506603W400,GAS,20.3,False
2022-01,ABBT0119087,ABWI103031106603W400,GAS,103.8,False
2022-01,ABBT0119087,ABWI103052506603W400,GAS,19.7,False
2022-01,ABBT0119087,ABWI103062406603W400,GAS,12.7,False
2022-01,ABBT0119087,ABWI103063606603W400,GAS,10.9,False
2022-01,ABBT0119087,ABWI103071306603W400,GAS,2.9,False
2022-01,ABBT0119087,ABWI103073506603W400,GAS,131.0,False
2022-01,ABBT0119087,ABWI103073606603W400,GAS,16.2,False
2022-01,ABBT0119087,ABWI103081106603W400,GAS,1.4,False
2022-01,ABBT0119087,ABWI103081206603W400,GAS,29.7,False
2022-01,ABBT0119087,ABWI103081306603W400,GAS,6.9,False
2022-01,ABBT0119087,ABWI103082506603W400,GAS,20.3,False
2022-01,ABBT0119087,ABWI103090106603W400,GAS,9.6,False
2022-01,ABBT0119087,ABWI103112406603W400,GAS,15.3,False
2022-01,ABBT0119087,ABWI103113606603W400,GAS,6.1,False
2022-01,ABBT0119087,ABWI103122506603W400,GAS,11.7,False
2022-01,ABBT0119087,ABWI103131306603W400,GAS,2.0,False
2022-01,ABBT0119087,ABWI103132506603W400,GAS,5.3,False
2022-01,ABBT0119087,ABWI103143106602W400,GAS,141.9,False
2022-01,ABBT0119087,ABWI103143606603W400,GAS,36.9,False
2022-01,ABBT0119087,ABWI103151206603W400,GAS,5.8,False
2022-01,ABBT0119087,ABWI103152406603W400,GAS,0.2,False
2022-01,ABBT0119087,ABWI103153606603W400,GAS,30.0,False
2022-01,ABBT0119087,ABWI103161206603W400,GAS,1.0,False
2022-01,ABBT0119087,ABWI103162406603W400,GAS,16.5,False
2022-01,ABBT0119087,ABWI104011306603W400,GAS,1.9,False
2022-01,ABBT0119087,ABWI104021306603W400,GAS,7.6,False
2022-01,ABBT0119087,ABWI104022506603W400,GAS,19.6,False
2022-01,ABBT0119087,ABWI104031106603W400,GAS,91.8,False
2022-01,ABBT0119087,ABWI104042406603W400,GAS,6.4,False
2022-01,ABBT0119087,ABWI104062406603W400,GAS,12.0,False
2022-01,ABBT0119087,ABWI104063606603W400,GAS,21.5,False
2022-01,ABBT0119087,ABWI104081106603W400,GAS,5.0,False
2022-01,ABBT0119087,ABWI104090106603W400,GAS,22.3,False
2022-01,ABBT0119087,ABWI104112406603W400,GAS,15.3,False
2022-01,ABBT0119087,ABWI104121206603W400,GAS,2.3,False
2022-01,ABBT0119087,ABWI104122506603W400,GAS,19.1,False
2022-01,ABBT0119087,ABWI104140106603W400,GAS,4.0,False
2022-01,ABBT0119087,ABWI104143606603W400,GAS,28.7,False
2022-01,ABBT0119087,ABWI104151206603W400,GAS,2.3,False
2022-01,ABBT0119087,ABWI104152406603W400,GAS,16.3,False
2022-01,ABBT0119087,ABWI104153606603W400,GAS,26.8,False
2022-01,ABBT0119087,ABWI104160206603W400,GAS,8.1,False
2022-01,ABBT0119087,ABWI104161206603W400,GAS,2.9,False
2022-01,ABBT0119087,ABWI104162406603W400,GAS,1.4,False
2022-01,ABBT0119087,ABWI105061106603W400,GAS,23.4,False
2022-01,ABBT0119087,ABWI105062406603W400,GAS,7.6,False
2022-01,ABBT0119087,ABWI105081306603W400,GAS,3.8,False
2022-01,ABBT0119087,ABWI105112406603W400,GAS,9.6,False
2022-01,ABBT0119087,ABWI105122506603W400,GAS,19.3,False
2022-01,ABBT0119087,ABWI105130106603W400,GAS,3.3,False
2022-01,ABBT0119087,ABWI105131306603W400,GAS,1.0,False
2022-01,ABBT0119087,ABWI105153606603W400,GAS,31.6,False
2022-01,ABBT0119087,ABWI105160106603W400,GAS,33.2,False
2022-01,ABBT0119087,ABWI106011306603W400,GAS,7.6,False
2022-01,ABBT0119087,ABWI106041206603W400,GAS,3.2,False
2022-01,ABBT0119087,ABWI106042406603W400,GAS,5.0,False
2022-01,ABBT0119087,ABWI106062406603W400,GAS,14.6,False
2022-01,ABBT0119087,ABWI106112406603W400,GAS,15.3,False
2022-01,ABBT0119087,ABWI106122506603W400,GAS,20.2,False
2022-01,ABBT0119087,ABWI106130106603W400,GAS,7.8,False
2022-01,ABBT0119087,ABWI107051206603W400,GAS,1.5,False
2022-01,ABBT0119087,ABWI107062406603W400,GAS,8.5,False
2022-01,ABBT0119087,ABWI107112406603W400,GAS,12.6,False
2022-01,ABBT0119087,ABWI107122506603W400,GAS,19.9,False
2022-01,ABBT0119087,ABWI108051206603W400,GAS,2.9,False
2022-01,ABBT0119087,ABWI1W0042406603W400,GAS,1.0,False
