Battery,Operator,TotalWells,AvgCyclesPerWell,AvgHighConfidenceCyclesPerWell
Mahihkan Battery 02-21,Imperial Oil,1457,3.49,1.02
Nabiye 11-23,Imperial Oil,281,5.02,1.75
